,Latitude (deg),Longitude (deg),Population Estimate
75487,33.3255,-95.0275,2106.0
75490,33.4004,-96.3278,2493.0
75503,33.5172,-94.1302,25517.0
75555,32.9598,-94.1531,1579.0
79088,34.5416,-101.7349,5394.0
79093,36.2713,-101.0443,102.0
79097,35.4221,-101.1985,863.0
79007,35.7700,-101.2916,14290.0
79025,34.9331,-102.2126,20.0
79027,34.5306,-102.2619,4794.0
79039,35.2529,-101.2544,965.0
79044,35.8534,-102.6807,646.0
79053,34.3847,-102.5870,97.0
79084,36.2779,-101.8934,2123.0
79101,35.2053,-101.8400,1851.0
79107,35.2307,-101.7955,34935.0
79118,35.0790,-101.7709,23381.0
79121,35.1519,-101.9473,6002.0
79229,33.6168,-100.7789,411.0
79231,33.9446,-101.0930,117.0
79250,33.9336,-101.6650,1401.0
79106,35.2076,-101.8903,27268.0
79230,34.7447,-100.0942,179.0
79233,34.5304,-100.4441,145.0
79235,33.9544,-101.3028,3298.0
79243,33.7546,-100.9441,53.0
79245,34.6326,-100.5412,2346.0
79255,34.5303,-101.1122,664.0
79313,33.7646,-102.1826,1528.0
79314,33.5997,-103.0169,40.0
79343,33.6130,-101.4736,1700.0
79364,33.4941,-101.6769,7630.0
79372,33.4482,-102.4898,1229.0
79373,33.2134,-101.8166,2924.0
79401,33.5907,-101.8535,7912.0
79406,33.5850,-101.8796,7017.0
79535,32.1900,-100.5110,179.0
79537,32.3052,-100.2229,35.0
79544,33.3067,-99.8575,676.0
79602,32.3268,-99.6611,24876.0
79713,32.6400,-101.8190,493.0
79733,32.1209,-101.3574,169.0
79738,32.7432,-101.4484,234.0
79855,31.1409,-104.4911,2108.0
76250,33.6304,-97.2608,1157.0
76943,30.5168,-101.3174,3420.0
76108,32.7777,-97.5213,43169.0
76061,32.5037,-97.1746,37.0
76084,32.4358,-97.0867,9109.0
76114,32.7778,-97.3987,26563.0
76120,32.7631,-97.1814,18125.0
76549,31.0424,-97.8213,52012.0
75493,33.1439,-95.0678,626.0
75640,32.7124,-94.6953,4859.0
75770,32.1362,-95.6364,2925.0
75762,32.2236,-95.3992,12412.0
75844,31.4990,-95.4205,5968.0
75959,31.4968,-93.8385,994.0
75801,31.7716,-95.5839,16244.0
75783,32.7939,-95.4261,7942.0
75784,31.8987,-95.0292,774.0
75792,32.4749,-95.1070,3002.0
75846,31.3587,-96.1870,2957.0
75860,31.6470,-96.2625,6516.0
75931,31.1230,-94.0297,2203.0
75935,31.7586,-94.1850,13648.0
75942,30.8173,-94.3979,229.0
75951,30.9355,-94.1631,15859.0
75978,31.5036,-94.5253,134.0
75979,30.7454,-94.3753,12228.0
75938,30.9039,-94.3332,2585.0
75851,31.0874,-95.4647,4954.0
75949,31.2379,-94.5004,8225.0
75054,32.5950,-97.0468,11927.0
75071,33.2552,-96.6228,55570.0
75109,32.0266,-96.3257,4384.0
75156,32.2692,-96.1058,16578.0
75157,32.4628,-96.4547,261.0
75254,32.9464,-96.7995,26929.0
75390,32.7835,-96.8001,0.0
75642,32.3685,-94.1826,48.0
75645,32.6862,-94.8936,10797.0
75682,32.2538,-94.9427,578.0
75752,32.1996,-95.8148,6998.0
75779,31.8667,-95.4958,128.0
75780,31.9808,-95.0939,216.0
